Feature,IncNodePurity
c2342,0
c2351,0
c2357,0
c2360,0
c2364,0
c2365,0
c2366,0
c2367,0
c2369,0
c2370,0
c2371,0
c2373,0
c2375,0
c2376,0
c2382,0
c2383,0
c2387,0
c2389,0
c2392,0
c2400,0
c2401,0
c2413,0
c2416,0
c2419,0
c2421,0
c2425,0
c2445,0
c2467,0
c2470,0
c2471,0
c2476,0
c2477,0
c2479,0
c2481,1.851851005
c2484,0
c2492,0
c2497,0
c2500,0
c2504,0
c2506,0
c2511,0
c2515,0
c2517,0
c2530,0
c2536,0
c2537,0
c2539,0
c2541,0
c2543,0
c2545,0
c2550,0
c2555,0
c2556,0
c2563,0
c2565,0
c2571,0
c2577,0
c2585,0
c2586,0
c2587,0
c2589,0
c2592,0
c2601,0
c2605,0
c2607,0
c2610,0
c2617,0
c2619,0
c2630,0
c2633,0
c2635,0
c2640,0
c2641,0
c2642,0
c2643,0
c2645,0
c2654,0
c2659,0
c2673,0
c2682,0
c2689,0
c2699,0
c2716,0
c2717,0
c2718,0
c2725,0
c2729,0
c2738,0
c2741,0
c2743,0
c2747,0
c2752,0
c2757,0
c2759,0
c2760,0
c2762,0
c2766,0
c2772,0
c2774,0
c2782,0
c2794,0
c2798,0
c2800,0
c2806,0
c2807,0
c2812,0
c2813,0
c2820,0
c2828,0
c2829,0
c2831,0
c2842,0
c2843,0
c2846,0
c2850,0
c2852,0
c2861,0
c2862,0
c2870,0
c2877,0
c2878,0
c2882,0
c2886,0
c2890,0
c2892,0.348896909
c2896,0
c2898,0
c2900,0
c2904,0
c2905,0
c2906,0
c2908,0
c2911,0
c2912,0
c2914,0
c2921,0
c2927,0
c2934,0
c2949,0
c2953,0
c2956,0
c2963,0
c2970,0
c2972,0
c2990,0
c2998,0
c2999,0
c3006,0
c3007,0
c3008,0
c3015,0
c3016,0
c3018,0
c3022,0
c3024,0
c3026,0
c3029,0
c3037,0
c3039,0
c3043,0
c3045,0
c3050,0
c3061,0
c3065,0
c3069,0
c3071,0
c3079,0
c3090,0
c3099,0
c3100,0
c3103,0
c3105,0
c3108,0
c3109,0
c3110,0
c3112,0
c3113,0
c3116,0
c3120,0
c3123,0
c3128,0
c3135,0
c3144,0
c3155,0
c3156,0
c3162,0
c3163,0
c3167,0
c3168,0
c3170,0
c3183,0
c3186,0
c3189,0
c3195,0
c3202,0
c3204,0
c3217,0
c3240,0
c3241,0
c3244,0
c3245,0
c3255,0
c3257,3.832371789
c3258,0
c3269,0
c3270,0
c3271,0
c3273,0
c3280,0
c3282,0
c3287,0
c3294,0.008872303
c3303,0
c3311,0
c3312,0
c3316,0
c3322,0
c3324,0
c3327,0
c3328,0
c3332,0
c3338,0
c3346,0
c3349,0
c3353,0
c3354,0
c3356,0
c3357,0
c3370,0
c3374,0
c3375,0
c3382,0
c3389,0
c3390,0
c3391,0
c3394,0
c3396,0
c3397,0
c3400,0
c3404,0
c3409,0
c3413,0
c3418,0
c3423,0
c3424,0
c3426,0
c3430,0
c3436,0
c3440,0
c3442,0
c3445,0
c3449,0
c3451,0
c3465,0
c3478,0
c3480,0
c3482,0
c3486,0
c3491,0
c3497,0
c3498,0
c3500,0
c3502,0
c3513,0
c3518,0
c3528,0
c3532,0
c3536,0
c3546,0
c3551,0
c3554,0
c3556,0
c3560,0
c3561,0
c3563,0
c3568,0
c3571,0
c3578,0
c3584,0
c3585,0
c3590,0
c3592,0
c3604,0
c3605,0
c3608,5.795142377
c3611,0
c3614,0
c3616,0
c3622,0
c3624,0
c3628,0
c3637,0
c3649,0
c3653,0
c3656,0
c3664,1.107964301
c3667,0.075896739
c3668,0
c3669,0
c3672,0
c3673,0
c3683,0
c3687,0
c3697,0
c3701,0
c3710,0
c3711,0
c3712,0
c3723,0
c3727,0
c3731,0
c3749,0
c3758,0
c3762,0
c3763,0
c3767,0
c3768,0
c3770,0
c3772,0
c3806,0
c3808,0
c3813,0
