"","V1","V2"
"4207","FAM111B","c4207"
"4208","ENGASE","c4208"
"4209","CBLC","c4209"
"4210","GALNT1","c4210"
"4211","SBNO1","c4211"
"4212","LINC00207","c4212"
"4213","ANKMY2","c4213"
"4214","PLEKHA5","c4214"
"4215","MIR518E","c4215"
"4216","MIR512-2","c4216"
"4217","DHX58","c4217"
"4218","ARCN1","c4218"
"4219","TREML1","c4219"
"4220","MIR4305","c4220"
"4221","SEC24A","c4221"
"4222","KNCN","c4222"
"4223","PSCA","c4223"
"4224","HIGD2A","c4224"
"4225","CIB4","c4225"
"4226","TTLL5","c4226"
"4227","TBX6","c4227"
"4228","MIR4748","c4228"
"4229","SGK3","c4229"
"4230","CCER1","c4230"
"4231","SPINK8","c4231"
"4232","INO80","c4232"
"4233","GCN1L1","c4233"
"4234","AMOT","c4234"
"4235","LOC286359","c4235"
"4236","LINC00317","c4236"
"4237","LDOC1","c4237"
"4238","FAM71D","c4238"
"4239","NRK","c4239"
"4240","NAT1","c4240"
"4241","ASB9","c4241"
"4242","TRAFD1","c4242"
"4243","SPTSSB","c4243"
"4244","PEAR1","c4244"
"4245","MIR4295","c4245"
"4246","OR1S2","c4246"
"4247","LOC440297","c4247"
"4248","TFF1","c4248"
"4249","PGS1","c4249"
"4250","LEPREL1","c4250"
"4251","HAP1","c4251"
"4252","EPHB2","c4252"
"4253","MIEN1","c4253"
"4254","ACTG1","c4254"
"4255","ZFP42","c4255"
"4256","KDSR","c4256"
"4257","HAVCR2","c4257"
"4258","NME1","c4258"
"4259","MIR367","c4259"
"4260","MESP2","c4260"
"4261","LINC00035","c4261"
"4262","BHLHE41","c4262"
"4263","CT45A3","c4263"
"4264","LACTB","c4264"
"4265","ZKSCAN2","c4265"
"4266","FAM101B","c4266"
"4267","LPCAT1","c4267"
"4268","CCDC148","c4268"
"4269","RBM28","c4269"
"4270","FAM222A","c4270"
"4271","ANKS3","c4271"
"4272","HNRNPA1","c4272"
"4273","GIGYF1","c4273"
"4274","BCAS3","c4274"
"4275","TMC7","c4275"
"4276","POLA2","c4276"
"4277","ZC3H12B","c4277"
"4278","HSD17B6","c4278"
"4279","ZNF658B","c4279"
"4280","TTTY10","c4280"
"4281","IFI27L2","c4281"
"4282","FAM45A","c4282"
"4283","DBIL5P","c4283"
"4284","RANBP9","c4284"
"4285","PPIAL4B","c4285"
"4286","CPNE7","c4286"
"4287","EVL","c4287"
"4288","LNX1","c4288"
"4289","GUSBP4","c4289"
"4290","IFNA21","c4290"
"4291","LOC100505812","c4291"
"4292","CFD","c4292"
"4293","PYCARD","c4293"
"4294","MYBPC2","c4294"
"4295","LINC00526","c4295"
"4296","ENPP3","c4296"
"4297","MIR4517","c4297"
"4298","ACSL4","c4298"
"4299","TMEM176B","c4299"
"4300","RGPD6","c4300"
"4301","SOX2","c4301"
"4302","SCO1","c4302"
"4303","LINC00592","c4303"
"4304","COMT","c4304"
"4305","AOC2","c4305"
"4306","AMER1","c4306"
"4307","PDLIM5","c4307"
"4308","KCP","c4308"
"4309","SPHK2","c4309"
"4310","NXPH2","c4310"
"4311","LOC200772","c4311"
"4312","GPR108","c4312"
"4313","PCDHA6","c4313"
"4314","LOC283731","c4314"
"4315","EFCAB11","c4315"
"4316","SNORD32B","c4316"
"4317","TMEM54","c4317"
"4318","LETMD1","c4318"
"4319","SLC6A17","c4319"
"4320","KRT75","c4320"
"4321","STT3B","c4321"
"4322","C8orf82","c4322"
"4323","CD3EAP","c4323"
"4324","LOC339975","c4324"
"4325","TMEM63A","c4325"
"4326","FAM212A","c4326"
"4327","DUSP13","c4327"
"4328","CD1C","c4328"
"4329","AVP","c4329"
"4330","PITPNM1","c4330"
"4331","TRIM68","c4331"
"4332","MCTP1","c4332"
"4333","UCK2","c4333"
"4334","ABHD1","c4334"
"4335","RNASEH1","c4335"
"4336","FAM50A","c4336"
"4337","WLS","c4337"
"4338","AGPAT9","c4338"
"4339","PCP2","c4339"
"4340","OR52H1","c4340"
"4341","MIR3658","c4341"
"4342","RBP5","c4342"
"4343","HYAL3","c4343"
"4344","SMNDC1","c4344"
"4345","CLPB","c4345"
"4346","DONSON","c4346"
"4347","BARHL2","c4347"
"4348","SLC30A9","c4348"
"4349","ZFP92","c4349"
"4350","TMPRSS11B","c4350"
"4351","E2F8","c4351"
"4352","LINC00552","c4352"
"4353","CCDC25","c4353"
"4354","TSPAN11","c4354"
"4355","OTUD1","c4355"
"4356","YIF1B","c4356"
"4357","LINC00643","c4357"
"4358","KRT18P55","c4358"
"4359","OR1L6","c4359"
"4360","FLJ30403","c4360"
"4361","HPN","c4361"
"4362","NBN","c4362"
"4363","OCLM","c4363"
"4364","ZSCAN18","c4364"
"4365","ZNF837","c4365"
"4366","FAN1","c4366"
"4367","TSTA3","c4367"
"4368","RAC1","c4368"
"4369","MOB2","c4369"
"4370","NFE2","c4370"
"4371","KLK14","c4371"
"4372","ARSF","c4372"
"4373","MAST2","c4373"
"4374","AMICA1","c4374"
"4375","KLRF2","c4375"
"4376","GTF2A1","c4376"
"4377","APOBEC4","c4377"
"4378","AGFG1","c4378"
"4379","ATP1A3","c4379"
"4380","TC2N","c4380"
"4381","PNKP","c4381"
"4382","LOC100129534","c4382"
"4383","S100P","c4383"
"4384","RBFOX3","c4384"
"4385","MATR3","c4385"
"4386","KRT82","c4386"
"4387","CA13","c4387"
"4388","PROZ","c4388"
"4389","AASDH","c4389"
"4390","SNORD116-19","c4390"
"4391","FAM5C","c4391"
"4392","DCK","c4392"
"4393","C19orf40","c4393"
"4394","DIAPH3-AS1","c4394"
"4395","SLC6A4","c4395"
"4396","MID1IP1","c4396"
"4397","TPSG1","c4397"
"4398","TMOD4","c4398"
"4399","DOCK2","c4399"
"4400","TUG1","c4400"
"4401","NUP214","c4401"
"4402","GOLM1","c4402"
"4403","DPYSL2","c4403"
"4404","LOC100133612","c4404"
"4405","SOX13","c4405"
"4406","SDCCAG8","c4406"
"4407","KEL","c4407"
"4408","IFT46","c4408"
"4409","SYNPO2","c4409"
"4410","NUP210L","c4410"
"4411","LOC202781","c4411"
"4412","GK","c4412"
"4413","DNAJB1","c4413"
"4414","ALPK3","c4414"
"4415","CHID1","c4415"
"4416","IKZF5","c4416"
"4417","CYLC2","c4417"
"4418","PPM1J","c4418"
"4419","GIMAP8","c4419"
"4420","GPR101","c4420"
"4421","NR2F1","c4421"
"4422","ACAD8","c4422"
"4423","LOC100507391","c4423"
"4424","FBP2","c4424"
"4425","GNAI2","c4425"
"4426","METTL8","c4426"
"4427","SLC39A7","c4427"
"4428","FBXO8","c4428"
"4429","CAMK1","c4429"
"4430","RFC3","c4430"
"4431","LINC00574","c4431"
"4432","FAM129A","c4432"
"4433","ILF2","c4433"
"4434","FGFBP3","c4434"
"4435","PRSS48","c4435"
"4436","OR14A16","c4436"
"4437","NAPSB","c4437"
"4438","ZNF506","c4438"
"4439","PSMA3","c4439"
"4440","NOM1","c4440"
"4441","ASCC3","c4441"
"4442","ZYG11A","c4442"
"4443","SOX21","c4443"
"4444","LYRM1","c4444"
"4445","DEFB1","c4445"
"4446","OR7C2","c4446"
"4447","DNAJC22","c4447"
"4448","LOC100499227","c4448"
"4449","FAM46B","c4449"
"4450","TMEM18","c4450"
"4451","ARHGAP30","c4451"
"4452","TMEM86A","c4452"
"4453","EPHA2","c4453"
"4454","LINC00086","c4454"
"4455","TCHH","c4455"
"4456","LOC100126784","c4456"
"4457","CYP3A7-CYP3AP1","c4457"
"4458","C3orf30","c4458"
"4459","PAIP2","c4459"
"4460","CYP2U1","c4460"
"4461","ZNF879","c4461"
"4462","SARS2","c4462"
"4463","ZCWPW1","c4463"
"4464","SAMD12","c4464"
"4465","KIAA1430","c4465"
"4466","SNRNP70","c4466"
"4467","ACAT1","c4467"
"4468","MEOX1","c4468"
"4469","CSGALNACT2","c4469"
"4470","ADAMDEC1","c4470"
"4471","PHKA2","c4471"
"4472","CARD11","c4472"
"4473","RSL24D1","c4473"
"4474","DEFB116","c4474"
"4475","CALML4","c4475"
"4476","TSSC1","c4476"
"4477","KRTAP4-3","c4477"
"4478","TMEM45A","c4478"
"4479","MPP7","c4479"
"4480","LOC100240734","c4480"
"4481","FAM150B","c4481"
"4482","POU1F1","c4482"
"4483","SLC2A13","c4483"
"4484","FBN2","c4484"
"4485","MIR1276","c4485"
"4486","ZC3H7A","c4486"
"4487","LAIR2","c4487"
"4488","LINC00623","c4488"
"4489","ST3GAL1","c4489"
"4490","LCT","c4490"
"4491","MTRNR2L1","c4491"
"4492","GEMIN8","c4492"
"4493","TEKT4P2","c4493"
"4494","KLF16","c4494"
"4495","HIF3A","c4495"
"4496","LOC158696","c4496"
"4497","CHODL-AS1","c4497"
"4498","MYH16","c4498"
"4499","HIST2H4A","c4499"
"4500","AQP10","c4500"
"4501","PLA2G2A","c4501"
"4502","FOLH1","c4502"
"4503","MAPKAP1","c4503"
"4504","HENMT1","c4504"
"4505","SPRR2D","c4505"
"4506","MIR548I2","c4506"
"4507","UBQLN4","c4507"
"4508","LOC91450","c4508"
"4509","HTT-AS1","c4509"
"4510","BPY2B","c4510"
"4511","PIAS3","c4511"
"4512","MRPL24","c4512"
"4513","KCNQ5-AS1","c4513"
"4514","FRRS1L","c4514"
"4515","GREB1","c4515"
"4516","SLC2A1-AS1","c4516"
"4517","NUP62CL","c4517"
"4518","NEUROG3","c4518"
"4519","REEP3","c4519"
"4520","MRGBP","c4520"
"4521","MARK1","c4521"
"4522","LMBRD1","c4522"
"4523","PRPF19","c4523"
"4524","PNMT","c4524"
"4525","LDLRAD4","c4525"
"4526","LOC150197","c4526"
"4527","NXF2","c4527"
"4528","SLC25A16","c4528"
"4529","EIF2B3","c4529"
"4530","RPA2","c4530"
"4531","PAK6","c4531"
"4532","SEMA3E","c4532"
"4533","MXD4","c4533"
"4534","TNFSF10","c4534"
"4535","SMARCB1","c4535"
"4536","DTX3L","c4536"
"4537","MIR3917","c4537"
"4538","PLA2G4E","c4538"
"4539","PPAP2A","c4539"
"4540","ULK1","c4540"
"4541","TAS1R3","c4541"
"4542","SLC2A3","c4542"
"4543","ARID3A","c4543"
"4544","WDR43","c4544"
"4545","GNG5","c4545"
"4546","ACOX1","c4546"
"4547","FOPNL","c4547"
"4548","SNHG11","c4548"
"4549","LOC155060","c4549"
"4550","KIF5B","c4550"
"4551","NUP153","c4551"
"4552","MUC7","c4552"
"4553","CSDE1","c4553"
"4554","LRRC17","c4554"
"4555","CLPTM1","c4555"
"4556","FAM183B","c4556"
"4557","TTYH3","c4557"
"4558","ATP5B","c4558"
"4559","ELF3","c4559"
"4560","AMZ2P1","c4560"
"4561","CPSF3L","c4561"
"4562","H3F3AP4","c4562"
"4563","ZNF665","c4563"
"4564","TLR6","c4564"
"4565","GPI","c4565"
"4566","RAD9A","c4566"
"4567","NDST4","c4567"
"4568","ALG1L","c4568"
"4569","AGPAT3","c4569"
"4570","MAGI3","c4570"
"4571","ADORA2A","c4571"
"4572","AOAH-IT1","c4572"
"4573","MRVI1-AS1","c4573"
"4574","DHRSX","c4574"
"4575","CACNG7","c4575"
"4576","CAMK2D","c4576"
"4577","ZFP69B","c4577"
"4578","CCHCR1","c4578"
"4579","RPS27A","c4579"
"4580","OR10G7","c4580"
"4581","GCM2","c4581"
"4582","HIST1H2BC","c4582"
"4583","FAM135B","c4583"
"4584","E2F1","c4584"
"4585","PLCB3","c4585"
"4586","OR2AE1","c4586"
"4587","COIL","c4587"
"4588","HSFY1P1","c4588"
"4589","SWT1","c4589"
"4590","RAB11FIP2","c4590"
"4591","CDC25C","c4591"
"4592","TSC2","c4592"
"4593","OR13C4","c4593"
"4594","CCDC108","c4594"
"4595","CPSF7","c4595"
"4596","LINC00649","c4596"
"4597","PTPRB","c4597"
"4598","MROH7","c4598"
"4599","ACP2","c4599"
"4600","MRPL54","c4600"
"4601","LAG3","c4601"
"4602","SPTAN1","c4602"
"4603","SIPA1L2","c4603"
"4604","RCAN2","c4604"
"4605","CDX2","c4605"
"4606","ACTR1A","c4606"
"4607","FAM86B3P","c4607"
"4608","PPARG","c4608"
"4609","TMEM44","c4609"
"4610","BBS10","c4610"
"4611","PNMAL2","c4611"
"4612","CITED1","c4612"
"4613","PRDM4","c4613"
"4614","IRF6","c4614"
"4615","RRP9","c4615"
"4616","FAM27A","c4616"
"4617","PSMG2","c4617"
"4618","C19orf45","c4618"
"4619","OR10H4","c4619"
"4620","MYBL2","c4620"
"4621","IL31RA","c4621"
"4622","GNB1L","c4622"
"4623","ZNF407","c4623"
"4624","PPIG","c4624"
"4625","TTC18","c4625"
"4626","RPSA","c4626"
"4627","MAPT","c4627"
"4628","MRE11A","c4628"
"4629","RASGEF1C","c4629"
"4630","C8orf37","c4630"
"4631","STBD1","c4631"
"4632","CTAG2","c4632"
"4633","MIR622","c4633"
"4634","LOC728819","c4634"
"4635","LOC647323","c4635"
"4636","MGAT5B","c4636"
"4637","ECM1","c4637"
"4638","LOC100271722","c4638"
"4639","WIPF3","c4639"
"4640","RLN1","c4640"
"4641","PARP14","c4641"
"4642","HOXA3","c4642"
"4643","EPB41L1","c4643"
"4644","MIA-RAB4B","c4644"
"4645","METTL15","c4645"
"4646","MAGEA9","c4646"
"4647","RPS8","c4647"
"4648","RPS19BP1","c4648"
"4649","FOXJ2","c4649"
"4650","LOC100288814","c4650"
"4651","C10orf76","c4651"
"4652","IL17RE","c4652"
"4653","ZNF343","c4653"
"4654","FBXO33","c4654"
"4655","UHMK1","c4655"
"4656","TADA3","c4656"
"4657","ZCCHC24","c4657"
"4658","LY6G6C","c4658"
"4659","FGF19","c4659"
"4660","LINC00857","c4660"
"4661","IFIT2","c4661"
"4662","TIGD1","c4662"
"4663","IP6K3","c4663"
"4664","S100G","c4664"
"4665","DYTN","c4665"
"4666","GUCY1B3","c4666"
"4667","TPBGL","c4667"
"4668","NR3C1","c4668"
"4669","NPAP1","c4669"
"4670","MIR4513","c4670"
"4671","LOC440563","c4671"
"4672","CORO1B","c4672"
"4673","PARP11","c4673"
"4674","GPR133","c4674"
"4675","DNALI1","c4675"
"4676","OR4N4","c4676"
"4677","MAP2K6","c4677"
"4678","FSTL4","c4678"
"4679","SMIM10","c4679"
"4680","TMEM171","c4680"
"4681","LOC729506","c4681"
"4682","AGO4","c4682"
"4683","YY1","c4683"
"4684","PNLIP","c4684"
"4685","FLJ46300","c4685"
"4686","AASDHPPT","c4686"
"4687","CCDC138","c4687"
"4688","PDXDC2P","c4688"
"4689","COX8C","c4689"
"4690","LOC100132062","c4690"
"4691","CKS1B","c4691"
"4692","MCM3","c4692"
"4693","ANAPC7","c4693"
"4694","FAM110A","c4694"
"4695","CDC37L1","c4695"
"4696","THTPA","c4696"
"4697","CCDC170","c4697"
"4698","WDR24","c4698"
"4699","NPTX2","c4699"
"4700","RALGAPA2","c4700"
"4701","CBLB","c4701"
"4702","LINC00692","c4702"
"4703","CETN1","c4703"
"4704","RPUSD1","c4704"
"4705","FAF1","c4705"
"4706","CDK6","c4706"
"4707","NPRL3","c4707"
"4708","HMX2","c4708"
"4709","TEAD2","c4709"
"4710","CSK","c4710"
"4711","TUFT1","c4711"
"4712","SNAP25","c4712"
"4713","TMTC3","c4713"
"4714","LCK","c4714"
"4715","SGOL1","c4715"
"4716","LOC440600","c4716"
"4717","AKTIP","c4717"
"4718","SOX12","c4718"
"4719","FURIN","c4719"
"4720","DEFB103A","c4720"
"4721","RHNO1","c4721"
"4722","RAMP1","c4722"
"4723","KIR3DX1","c4723"
"4724","SMIM12","c4724"
"4725","GAS2L3","c4725"
"4726","CNRIP1","c4726"
"4727","PDE8A","c4727"
"4728","EDN3","c4728"
"4729","GMIP","c4729"
"4730","MIR631","c4730"
"4731","GAGE4","c4731"
"4732","SF3A2","c4732"
"4733","DNLZ","c4733"
"4734","FN3KRP","c4734"
"4735","SMAD7","c4735"
"4736","TMEM253","c4736"
"4737","RHBDD2","c4737"
"4738","OR11H6","c4738"
"4739","PPP1R3B","c4739"
"4740","C11orf85","c4740"
"4741","TMEM57","c4741"
"4742","GOLGA8A","c4742"
"4743","CADPS","c4743"
"4744","LPCAT2","c4744"
"4745","RGL3","c4745"
"4746","S100A14","c4746"
"4747","IQCH-AS1","c4747"
"4748","FGFR2","c4748"
"4749","XRCC3","c4749"
"4750","RTN4RL2","c4750"
"4751","GH2","c4751"
"4752","BTBD2","c4752"
"4753","LMO2","c4753"
"4754","AMY2A","c4754"
"4755","ACRBP","c4755"
"4756","PTK7","c4756"
"4757","DUOXA1","c4757"
"4758","TWF2","c4758"
"4759","DDX60","c4759"
"4760","TNNI2","c4760"
"4761","GLT25D1","c4761"
"4762","RPL22","c4762"
"4763","CYC1","c4763"
"4764","MORN3","c4764"
"4765","TPTE2P5","c4765"
"4766","NYNRIN","c4766"
"4767","DISP1","c4767"
"4768","PRB2","c4768"
"4769","CHUK","c4769"
"4770","HR","c4770"
"4771","CCDC134","c4771"
"4772","RAB33A","c4772"
"4773","DENND4B","c4773"
"4774","DCST2","c4774"
"4775","MSGN1","c4775"
"4776","TNMD","c4776"
"4777","PEX7","c4777"
"4778","IL22","c4778"
"4779","RPS26","c4779"
"4780","TTC39C","c4780"
"4781","HOXC5","c4781"
"4782","SPATA6","c4782"
"4783","ZNF234","c4783"
"4784","SPATA22","c4784"
"4785","CLVS2","c4785"
"4786","THOC1","c4786"
"4787","KCNC3","c4787"
"4788","CYP7B1","c4788"
"4789","C8orf42","c4789"
"4790","ALDH1B1","c4790"
"4791","ARMC4","c4791"
"4792","LRRN4","c4792"
"4793","SLC44A1","c4793"
"4794","FBXO17","c4794"
"4795","MIR937","c4795"
"4796","LINC00278","c4796"
"4797","TBC1D3C","c4797"
"4798","AA06","c4798"
"4799","AP5M1","c4799"
"4800","ZC3HAV1L","c4800"
"4801","PARP6","c4801"
"4802","SULT2A1","c4802"
"4803","C1orf159","c4803"
"4804","LOC100506548","c4804"
"4805","MIR4737","c4805"
"4806","TMC1","c4806"
"4807","CHST14","c4807"
"4808","GAMT","c4808"
"4809","DRAM1","c4809"
"4810","SMCP","c4810"
"4811","TSPAN33","c4811"
"4812","CXorf40A","c4812"
"4813","TRMT44","c4813"
"4814","LOC286190","c4814"
"4815","MIDN","c4815"
"4816","NOX4","c4816"
"4817","DEFB104B","c4817"
"4818","TBX1","c4818"
"4819","SALL2","c4819"
"4820","C10orf35","c4820"
"4821","MIR4754","c4821"
"4822","CYP2E1","c4822"
"4823","LRFN2","c4823"
"4824","ACO1","c4824"
"4825","CRYM-AS1","c4825"
"4826","IQCG","c4826"
"4827","MEGF9","c4827"
"4828","ITPRIPL1","c4828"
"4829","PLEKHA1","c4829"
"4830","LOC100129794","c4830"
"4831","STK33","c4831"
"4832","NR6A1","c4832"
"4833","SNUPN","c4833"
"4834","C1orf210","c4834"
"4835","TMEM55B","c4835"
"4836","QRFP","c4836"
"4837","OSTM1","c4837"
"4838","CLCN7","c4838"
"4839","OTP","c4839"
"4840","PCDHGA9","c4840"
"4841","MAP3K10","c4841"
"4842","HEATR4","c4842"
"4843","RBMY1J","c4843"
"4844","AMDHD2","c4844"
"4845","PDCD2L","c4845"
"4846","NAPEPLD","c4846"
"4847","LCTL","c4847"
"4848","LRRC14B","c4848"
"4849","CABLES2","c4849"
"4850","SLC5A9","c4850"
"4851","CLCA2","c4851"
"4852","STRAP","c4852"
"4853","MGC16025","c4853"
"4854","MIR598","c4854"
"4855","C20orf196","c4855"
"4856","RRBP1","c4856"
"4857","CCDC179","c4857"
"4858","MTMR10","c4858"
"4859","MIR4436A","c4859"
"4860","MAT2B","c4860"
"4861","CCL4L1","c4861"
"4862","CSNK1D","c4862"
"4863","PRKAG3","c4863"
"4864","KIR3DL1","c4864"
"4865","ZNF599","c4865"
"4866","PRM3","c4866"
"4867","LINC00689","c4867"
"4868","SCARNA6","c4868"
"4869","PER2","c4869"
"4870","ASPHD1","c4870"
"4871","PRMT6","c4871"
"4872","ARFGAP2","c4872"
"4873","RNU4ATAC","c4873"
"4874","KCNE1L","c4874"
"4875","PMS2P1","c4875"
"4876","FAM118A","c4876"
"4877","TAF4","c4877"
"4878","NDUFB6","c4878"
"4879","TRIM9","c4879"
"4880","PMFBP1","c4880"
"4881","GABPB1","c4881"
"4882","KY","c4882"
"4883","TBP","c4883"
"4884","OR1Q1","c4884"
"4885","ERI2","c4885"
"4886","ARMC12","c4886"
"4887","CSMD1","c4887"
"4888","RETNLB","c4888"
"4889","HPGD","c4889"
"4890","DNAJC12","c4890"
"4891","MTOR-AS1","c4891"
"4892","FKBP1B","c4892"
"4893","DRGX","c4893"
"4894","CXXC5","c4894"
"4895","ANKRD24","c4895"
"4896","IL3","c4896"
"4897","MSANTD1","c4897"
"4898","TP53BP1","c4898"
"4899","PTCH1","c4899"
"4900","TADA2A","c4900"
"4901","SLC17A7","c4901"
"4902","COL25A1","c4902"
"4903","AMACR","c4903"
"4904","LOC643037","c4904"
"4905","RHCG","c4905"
"4906","FAM90A7P","c4906"
"4907","VPS13A","c4907"
"4908","LRRC9","c4908"
"4909","PRPF38B","c4909"
"4910","OSBPL6","c4910"
"4911","PFDN5","c4911"
"4912","MIR197","c4912"
"4913","CMTM6","c4913"
"4914","KCNK12","c4914"
"4915","C3orf43","c4915"
"4916","LOC100133123","c4916"
"4917","RP2","c4917"
"4918","FOXD2-AS1","c4918"
"4919","C16orf52","c4919"
"4920","DEFB135","c4920"
"4921","PICK1","c4921"
"4922","ANKRD20A12P","c4922"
"4923","SEMA4B","c4923"
"4924","TYRO3","c4924"
"4925","NIPAL2","c4925"
"4926","OR12D2","c4926"
"4927","FANCF","c4927"
"4928","CSNK1A1","c4928"
"4929","TBL1Y","c4929"
"4930","LONP2","c4930"
"4931","CUX2","c4931"
"4932","LDOC1L","c4932"
"4933","CCNC","c4933"
"4934","MIR421","c4934"
"4935","CHKA","c4935"
"4936","CCDC151","c4936"
"4937","ZNF503-AS1","c4937"
"4938","UBAP1","c4938"
"4939","MAP3K1","c4939"
"4940","BHLHA15","c4940"
"4941","ANKRD9","c4941"
"4942","CPPED1","c4942"
"4943","FAM92A1","c4943"
"4944","MIR3609","c4944"
"4945","GAB2","c4945"
"4946","AZU1","c4946"
"4947","DIS3","c4947"
"4948","LCNL1","c4948"
"4949","IQCB1","c4949"
"4950","SPATS2","c4950"
"4951","COA1","c4951"
"4952","ZNF829","c4952"
"4953","OR5B21","c4953"
"4954","EFCAB3","c4954"
"4955","PRB3","c4955"
"4956","FUZ","c4956"
"4957","ZNF813","c4957"
"4958","BMPER","c4958"
"4959","HEG1","c4959"
"4960","SEPT7P2","c4960"
"4961","SURF2","c4961"
"4962","ALS2CR11","c4962"
"4963","PSMC1","c4963"
"4964","SLC7A8","c4964"
"4965","OR2D2","c4965"
"4966","C4orf40","c4966"
"4967","GAGE12E","c4967"
"4968","SPATA7","c4968"
"4969","CEP95","c4969"
"4970","MIR1206","c4970"
"4971","MAZ","c4971"
"4972","PIN4","c4972"
"4973","PDE1A","c4973"
"4974","TAF6L","c4974"
"4975","OR2T34","c4975"
"4976","HES3","c4976"
"4977","ACADS","c4977"
"4978","MKRN2","c4978"
"4979","MS4A6E","c4979"
"4980","GALNT4","c4980"
"4981","C18orf56","c4981"
"4982","C22orf31","c4982"
"4983","PSME4","c4983"
"4984","LOC100128531","c4984"
"4985","TFG","c4985"
"4986","EPHX2","c4986"
"4987","ANXA5","c4987"
"4988","KRTAP1-1","c4988"
"4989","LOC100505695","c4989"
"4990","BATF","c4990"
"4991","KARS","c4991"
"4992","GPR26","c4992"
"4993","DPH3P1","c4993"
"4994","TEF","c4994"
"4995","FAM151A","c4995"
"4996","FOXK1","c4996"
"4997","TRPC5OS","c4997"
"4998","FBXO43","c4998"
"4999","PRLHR","c4999"
"5000","LOC100131551","c5000"
"5001","EMX1","c5001"
"5002","FAM169B","c5002"
"5003","C11orf30","c5003"
"5004","ICK","c5004"
"5005","THSD7B","c5005"
"5006","DUOX1","c5006"
"5007","EFCAB4B","c5007"
"5008","UBE2G2","c5008"
"5009","TTTY9B","c5009"
"5010","PARP1","c5010"
"5011","BPIFA4P","c5011"
"5012","FAM60A","c5012"
"5013","PLIN1","c5013"
"5014","OR9K2","c5014"
"5015","DDX55","c5015"
"5016","RPS15","c5016"
"5017","ZNF618","c5017"
"5018","SSPO","c5018"
"5019","FERMT2","c5019"
"5020","C2CD5","c5020"
"5021","CPA6","c5021"
"5022","LOC340357","c5022"
"5023","CEP57L1","c5023"
"5024","JAG2","c5024"
"5025","TOP1P1","c5025"
"5026","DEFA3","c5026"
"5027","CD34","c5027"
"5028","SLCO4A1","c5028"
"5029","M1AP","c5029"
"5030","SHD","c5030"
"5031","LOC100132352","c5031"
"5032","PRKCSH","c5032"
"5033","ZBTB42","c5033"
"5034","DPH5","c5034"
"5035","HLA-F","c5035"
"5036","SMIM4","c5036"
"5037","TBC1D4","c5037"
"5038","PCDHGA2","c5038"
"5039","GLUD1","c5039"
"5040","LINC00202-1","c5040"
"5041","SNORD114-14","c5041"
"5042","RNF207","c5042"
"5043","PLA2G3","c5043"
"5044","APIP","c5044"
"5045","ST3GAL6-AS1","c5045"
"5046","CCDC84","c5046"
"5047","SREK1IP1","c5047"
"5048","PHIP","c5048"
"5049","MYLIP","c5049"
"5050","LOC285548","c5050"
"5051","LOC100131564","c5051"
"5052","AARS2","c5052"
"5053","DHX32","c5053"
"5054","SCAPER","c5054"
"5055","CRYBB2P1","c5055"
"5056","RNY5","c5056"
"5057","MEN1","c5057"
"5058","NIP7","c5058"
"5059","TMEM158","c5059"
"5060","RARA","c5060"
"5061","FASTKD3","c5061"
"5062","BDH1","c5062"
"5063","ANKRD16","c5063"
"5064","SS18","c5064"
"5065","CARM1","c5065"
"5066","IKZF2","c5066"
"5067","FLJ33630","c5067"
"5068","MYD88","c5068"
"5069","PML","c5069"
"5070","HOXA11-AS","c5070"
"5071","TAF1A","c5071"
"5072","CBFB","c5072"
"5073","HIST1H3H","c5073"
"5074","DPP3","c5074"
"5075","C7orf29","c5075"
"5076","COMMD4","c5076"
"5077","DAB2","c5077"
"5078","YPEL4","c5078"
"5079","ZNF276","c5079"
"5080","WWTR1-AS1","c5080"
"5081","AGBL3","c5081"
"5082","LRP6","c5082"
"5083","SERPINH1","c5083"
"5084","TLE1","c5084"
"5085","CD244","c5085"
"5086","ZDHHC15","c5086"
"5087","THAP7-AS1","c5087"
"5088","MGLL","c5088"
"5089","DNM1P46","c5089"
"5090","LINC00609","c5090"
"5091","FAP","c5091"
"5092","TMSB15A","c5092"
"5093","GPR37","c5093"
"5094","SCARA5","c5094"
"5095","MIR802","c5095"
"5096","EBF4","c5096"
"5097","DEFB107A","c5097"
"5098","LINC00327","c5098"
"5099","LSM6","c5099"
"5100","SLC5A12","c5100"
"5101","MLLT1","c5101"
"5102","TPM4","c5102"
"5103","TNFSF4","c5103"
"5104","COPS5","c5104"
"5105","ACADSB","c5105"
"5106","HERPUD1","c5106"
"5107","BCL2L11","c5107"
"5108","LOC650368","c5108"
"5109","CEP78","c5109"
"5110","CDCA3","c5110"
"5111","SNORD77","c5111"
"5112","LINC00200","c5112"
"5113","METAP1D","c5113"
"5114","MYO1A","c5114"
"5115","PPEF1","c5115"
"5116","CPEB2","c5116"
"5117","TMEM56-RWDD3","c5117"
"5118","LINC00474","c5118"
"5119","BPTF","c5119"
"5120","LRRK1","c5120"
"5121","LOC151484","c5121"
"5122","RPL21","c5122"
"5123","GSX2","c5123"
"5124","JKAMP","c5124"
"5125","ADPRH","c5125"
"5126","CSN1S2BP","c5126"
"5127","MLLT6","c5127"
"5128","KCNS1","c5128"
"5129","PIWIL4","c5129"
"5130","RNF26","c5130"
"5131","RAP1B","c5131"
"5132","ADAMTS1","c5132"
