"","V1","V2"
"243","ERVV-2","c243"
"244","POLG","c244"
"245","ADAM23","c245"
"246","TFR2","c246"
"247","RICTOR","c247"
"248","GRXCR2","c248"
"249","FLJ42709","c249"
"250","SNORD105","c250"
"251","IDO2","c251"
"252","HLA-J","c252"
"253","C19orf55","c253"
"254","FONG","c254"
"255","SNAPC1","c255"
"256","GNA11","c256"
"257","LOC654342","c257"
"258","FSIP1","c258"
"259","CELA3A","c259"
"260","UPF3A","c260"
"261","IGSF11","c261"
"262","LAGE3","c262"
"263","CHST6","c263"
"264","UNC13B","c264"
"265","MIR550B1","c265"
"266","TTLL4","c266"
"267","ZNF687","c267"
"268","FLJ45974","c268"
"269","SDC2","c269"
"270","METTL21A","c270"
"271","COX7A2","c271"
"272","CETN4P","c272"
"273","LOC100132707","c273"
"274","LAMB4","c274"
"275","FAM24A","c275"
"276","PDP1","c276"
"277","LRRTM3","c277"
"278","GPHB5","c278"
"279","AHCYL2","c279"
"280","OR4C13","c280"
"281","IZUMO2","c281"
"282","FLJ39739","c282"
"283","TRIM64C","c283"
"284","HABP4","c284"
"285","TMEM125","c285"
"286","CNTN2","c286"
"287","MIR885","c287"
"288","ASNSD1","c288"
"289","FUT4","c289"
"290","BAGE4","c290"
"291","LINC00675","c291"
"292","RP9","c292"
"293","ARAP1","c293"
"294","CDH8","c294"
"295","AGPS","c295"
"296","PP14571","c296"
"297","CLEC4GP1","c297"
"298","LINC00305","c298"
"299","UNG","c299"
"300","LOC284344","c300"
"301","GSTP1","c301"
"302","DCUN1D5","c302"
"303","SLC9A3R1","c303"
"304","FAM218A","c304"
"305","LILRA6","c305"
"306","CHMP7","c306"
"307","REM2","c307"
"308","MIR637","c308"
"309","DNHD1","c309"
"310","FKBP4","c310"
"311","ZNF350","c311"
"312","BST1","c312"
"313","KISS1R","c313"
"314","NCR2","c314"
"315","MIR3690","c315"
"316","DEFB125","c316"
"317","UBE2W","c317"
"318","OR2T29","c318"
"319","SNORA78","c319"
"320","KRT15","c320"
"321","C10orf99","c321"
"322","SCN11A","c322"
"323","GFI1","c323"
"324","FHL1","c324"
"325","SMC6","c325"
"326","OSGEP","c326"
"327","GATA1","c327"
"328","TTTY14","c328"
"329","LPIN3","c329"
"330","RPL4","c330"
"331","RBPMS","c331"
"332","LOC100506172","c332"
"333","PRPF3","c333"
"334","EMR1","c334"
"335","SPATA19","c335"
"336","XCR1","c336"
"337","IRX3","c337"
"338","ELFN1","c338"
"339","RBM6","c339"
"340","MIR4698","c340"
"341","CYSTM1","c341"
"342","KLF4","c342"
"343","IFITM10","c343"
"344","MIR5010","c344"
"345","LOC729177","c345"
"346","UNC5CL","c346"
"347","C16orf71","c347"
"348","LOC100527964","c348"
"349","LOC100128252","c349"
"350","SEBOX","c350"
"351","BTK","c351"
"352","KRCC1","c352"
"353","SYTL5","c353"
"354","PRND","c354"
"355","PIGL","c355"
"356","MOB1B","c356"
